,middle,middle_pert1,middle_pert2,middle_pert3,middle_pert4
AFG,0,0,0,0,0
AHO,3,3,3,3,4
AIN,0,0,0,0,0
ALB,0,0,0,0,0
ALG,5,5,5,5,6
AND,0,0,0,0,0
ANG,0,0,0,0,0
ANT,0,0,0,0,0
ANZ,0,0,0,0,0
ARG,5,5,6,6,6
ARM,4,4,5,5,5
ARU,0,0,0,0,0
ASA,0,0,0,0,0
AUS,43,47,43,43,44
AUT,7,7,7,7,8
AZE,5,5,5,5,5
BAH,0,0,0,0,0
BAN,0,0,0,0,0
BAR,0,0,0,0,0
BDI,0,0,0,0,0
BEL,8,9,8,8,9
BEN,0,0,0,0,0
BER,0,0,0,0,0
BHU,0,0,0,0,0
BIH,0,0,0,0,0
BIZ,0,0,0,0,0
BLR,5,6,5,5,5
BOH,0,0,0,0,0
BOL,0,0,0,0,0
BOT,2,1,2,2,2
BRA,24,26,24,24,24
BRN,1,1,1,1,2
BRU,0,0,0,0,0
BUL,5,6,5,5,5
BUR,0,0,0,0,0
CAF,0,0,0,0,0
CAM,0,0,0,0,0
CAN,16,16,17,16,17
CAY,0,0,0,0,0
CGO,0,0,0,0,0
CHA,0,0,0,0,0
CHI,0,0,0,0,0
CHN,80,89,80,80,79
CIV,0,0,0,0,0
CMR,0,0,0,0,0
COD,0,0,0,0,0
COK,0,0,0,0,0
COL,6,6,6,6,6
COM,0,0,0,0,0
CPV,0,0,0,0,0
CRC,0,0,0,0,0
CRO,8,8,8,8,9
CRT,0,0,0,0,0
CUB,3,3,3,3,4
CYP,0,0,0,0,0
CZE,7,8,7,7,8
DEN,7,7,7,7,7
DJI,0,0,0,0,0
DMA,0,0,0,0,0
DOM,2,1,2,2,2
ECU,1,1,1,1,1
EGY,5,5,5,5,6
EOR,0,0,0,0,0
ERI,2,1,2,2,2
ESA,0,0,0,0,0
ESP,19,20,19,19,19
EST,0,0,0,0,0
ETH,0,0,0,0,0
EUN,54,59,54,54,55
FIJ,0,0,0,0,0
FIN,0,0,0,0,0
FRA,52,57,51,52,52
FRG,46,49,46,46,47
FSM,0,0,0,0,0
GAB,0,0,0,0,0
GAM,0,0,0,0,0
GBR,48,53,48,48,49
GBS,0,0,0,0,0
GDR,62,67,63,62,63
GEO,6,6,6,6,7
GEQ,0,0,0,0,0
GER,41,45,41,41,42
GHA,0,0,0,0,0
GRE,3,3,3,3,3
GRN,0,0,0,0,0
GUA,0,0,0,0,0
GUI,0,0,0,0,0
GUM,0,0,0,0,0
GUY,0,0,0,0,0
HAI,0,0,0,0,0
HKG,0,0,0,0,0
HON,0,0,0,0,0
HUN,12,13,12,12,12
INA,3,3,3,3,3
IND,4,4,4,4,4
IOA,0,0,0,0,0
IRI,9,9,9,9,9
IRL,7,7,7,7,7
IRQ,2,1,2,2,2
ISL,0,0,0,0,0
ISR,9,9,9,9,9
ISV,0,0,0,0,0
ITA,33,36,33,33,34
IVB,0,0,0,0,0
JAM,0,0,0,0,0
JOR,1,1,1,1,2
JPN,50,55,50,50,50
KAZ,11,11,11,11,12
KEN,2,2,2,2,2
KGZ,2,2,2,2,2
KIR,0,0,0,0,0
KOR,18,21,18,18,18
KOS,0,0,0,0,0
KSA,3,2,3,3,3
KUW,0,0,0,0,0
LAO,0,0,0,0,0
LAT,1,1,1,1,1
LBA,0,0,0,0,0
LBN,0,0,0,0,0
LBR,0,0,0,0,0
LCA,0,0,0,0,0
LES,0,0,0,0,0
LIB,0,0,0,0,0
LIE,0,0,0,0,0
LTU,7,8,7,7,7
LUX,0,0,0,0,0
MAD,0,0,0,0,0
MAL,0,0,0,0,0
MAR,3,3,3,3,4
MAS,0,0,0,0,0
MAW,0,0,0,0,0
MDA,0,0,0,0,0
MDV,0,0,0,0,0
MEX,2,2,2,2,2
MGL,0,0,0,0,0
MHL,0,0,0,0,0
MKD,0,0,0,0,0
MLI,0,0,0,0,0
MLT,0,0,0,0,0
MNE,4,4,4,4,5
MON,0,0,0,0,0
MOZ,0,0,0,0,0
MRI,0,0,0,0,0
MTN,0,0,0,0,0
MYA,0,0,0,0,0
NAM,0,0,0,0,0
NBO,0,0,0,0,0
NCA,0,0,0,0,0
NED,25,27,25,25,26
NEP,0,0,0,0,0
NFL,0,0,0,0,0
NGR,0,0,0,0,0
NIG,0,0,0,0,0
NOR,4,4,4,4,4
NRU,0,0,0,0,0
NZL,12,13,12,12,12
OMA,0,0,0,0,0
PAK,0,0,0,0,0
PAN,0,0,0,0,0
PAR,0,0,0,0,0
PER,0,0,0,0,0
PHI,3,4,3,3,3
PLE,0,0,0,0,0
PLW,0,0,0,0,0
