,Medal,Event_Count,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Male_Percentage,is_Host?
AFG,1.3684555315672042e-48,4.556621040303565,0.0,0.0,0.0,0.08602412599974067,0.0,0.0,0.0,0.0,0.0,57.053276533644095,0
AHO,0.0,6.7715858205045,0.0,0.0,0.0,-4.824558165895697e-06,0.0,0.0,0.0,0.0,0.21182489292434933,94.01981901715979,0
AIN,10.000000000000002,,0.0,0.0,0.0,0,0.0,3.0000000000000004,10.00000166666611,0.0,3.00000049999975,0.0,0
ALB,2.0,6.219995523736253,0.0,0.0,0.0,-4.824558165895698e-06,0.0,2.0,0.0,0.0,0.0,57.36556373576233,0
ALG,7.000000000000001,46.25263390225916,0.0,6.0000146156071565,0.0,-4.8245581658957044e-06,0.0,2.8502186751073104,0.0,0.0,0.0,67.01708972199071,0
AND,0.0,3.8892076256878987,0.0,0.0,0.0,-4.824558165895697e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
ANG,0.0,13.356431905732125,0.0,0.0,0.0,-4.824558165895686e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
ANT,0.0,3.438767888079194,0.0,0.0,0.0,-4.824558165895695e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
ANZ,11.0,0,0.0,0.0,0,-4.824558165895707e-06,0.0,0,0.0,0,1.9999999999999996,0,0
ARG,6.0,56.83866331447146,-2.916448807822559e-303,0.1592361876139704,0.0,0.13317306380591146,2.2809305070593897,1.3621669299663142,1.3961318563317366,0.0,0.6961256496334283,73.46287170553619,0
ARM,7.0,26.00789634197769,0.0,2.9999807786269814,0.0,-4.824558165895734e-06,0.0,5.173425814175793,0.0,0.0,0.0,77.48977630006509,0
ARU,0.0,7.047169989067557,0.0,0.0,0.0,-4.824558165895698e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
ASA,0.0,4.886815947740838,0.0,0.0,0.0,-4.824558165895698e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
AUS,102.0,235.1802628083601,0.0,9.676052943696844,0.3232875120515047,0.3736993255030553,2.4313229738785727,51.48124605333588,0.0,0.0,15.180079858966838,51.26631464581432,0
AUT,9.0,72.70787037683505,0.0,0.0,0.0,-4.824558165895716e-06,2.2502927983457575,2.704454273819216,0.0,0.0,4.213635466870874,60.09277697753963,0
AZE,13.0,42.31353982441874,0.0,0.0,0.0,-0.41852758294549863,3.3542082575144905,11.059259233744982,0.0,0.0,0.0,62.672168868453255,0
BAH,-8.881784197001252e-16,13.273000706272587,0.0,0.0,0.0,-4.824558165895708e-06,0.0,2.438673939548656,0.0,0.0,-0.3033133243877903,37.5009174259459,0
BAN,0.0,6.634094663545014,0.0,0.0,0.0,-4.824558165895686e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
BAR,1.8726705418768793e-96,4.049241652497621,0.0,0.0,0.0,-4.824558165895688e-06,0.0,0.07142369351517973,0.0,0.0,0.0,59.973375080713744,0
BDI,2.465190328815662e-32,7.7165390473377755,0.0,0.0,0.0,-4.824558165895734e-06,0.0,0.6249788021782179,0.0,0.0,0.0,65.43032293173827,0
BEL,14.0,90.96866250880888,0.0,2.9800065976012036,0.0,1.636184562734322,-0.5864201191170006,5.277796046634771,3.000046462000943,0.0,2.7782237002178096,57.67737011543226,0
BEN,0.0,6.937254695786084,0.0,0.0,0.0,-4.824558165895697e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
BER,0.0,6.843460592965437,0.0,0.0,0.0,-4.824558165895721e-06,0.0,0.04999985164806639,4.221916050789279,0.0,0.0,49.828538562127804,0
BHU,0.0,2.7682969538123343,0.0,0.0,0.0,-4.824558165895686e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
BIH,0.0,6.415300439398978,0.0,0.0,0.0,-4.824558165895735e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
BIZ,0.0,1.0049026989952086,0.0,0.0,0.0,-4.824558165895688e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
BLR,12.0,107.32636178531928,0.0,0.0,0.0,-4.824558165895721e-06,4.684046105259405,6.79587978596134,14.999928823280296,0.0,-1.1655874750045905,40.875903056963345,0
BOH,-2.220446049250313e-16,18.799508824792078,0.0,0.0,0.0,-4.824558165895729e-06,0.0,0.9999996221344738,0,0.0,-1.733459507575483,-0.012997795429740222,0
BOL,0.0,5.824650010885105,0.0,0.0,0.0,-4.824558165895705e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
BOT,5.0,8.15052065130591,0.0,0.0,0.0,-4.824558165895695e-06,0.0,3.290803161689608,0.0,0.0,0.0,79.82820634571358,0
