,NOC,Year,Medal,Event_Count,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Male_Percentage,is_Host?
0,AFG,1936,0,4,0,0,0,0,0,0,0,0,0,100.0,0.0
1,AFG,1948,0,2,0,0,0,0,0,0,0,0,0,100.0,0.0
2,AFG,1956,0,1,0,0,0,0,0,0,0,0,0,100.0,0.0
3,AFG,1960,0,13,0,0,0,0,0,0,0,0,0,100.0,0.0
4,AFG,1964,0,8,0,0,0,0,0,0,0,0,0,100.0,0.0
5,AFG,1968,0,5,0,0,0,0,0,0,0,0,0,100.0,0.0
6,AFG,1972,0,8,0,0,0,0,0,0,0,0,0,100.0,0.0
7,AFG,1980,0,11,0,0,0,0,0,0,0,0,0,100.0,0.0
8,AFG,1988,0,5,0,0,0,0,0,0,0,0,0,100.0,0.0
9,AFG,1996,0,2,0,0,0,0,0,0,0,0,0,100.0,0.0
10,AFG,2004,0,5,0,0,0,0,0,0,0,0,0,60.0,0.0
11,AFG,2008,1,4,0,0,0,1,0,0,0,0,0,75.0,0.0
12,AFG,2012,1,6,0,0,0,1,0,0,0,0,0,83.33333333333334,0.0
13,AFG,2016,0,3,0,0,0,0,0,0,0,0,0,66.66666666666666,0.0
14,AFG,2020,0,5,0,0,0,0,0,0,0,0,0,80.0,0.0
15,AFG,2024,0,6,0,0,0,0,0,0,0,0,0,42.857142857142854,0.0
16,AHO,1952,0,1,0,0,0,0,0,0,0,0,0,100.0,0.0
17,AHO,1960,0,4,0,0,0,0,0,0,0,0,0,100.0,0.0
18,AHO,1964,0,4,0,0,0,0,0,0,0,0,0,100.0,0.0
19,AHO,1968,0,4,0,0,0,0,0,0,0,0,0,60.0,0.0
20,AHO,1972,0,2,0,0,0,0,0,0,0,0,0,100.0,0.0
21,AHO,1976,0,4,0,0,0,0,0,0,0,0,0,100.0,0.0
22,AHO,1984,0,10,0,0,0,0,0,0,0,0,0,46.15384615384615,0.0
23,AHO,1988,2,4,0,0,0,0,0,0,0,0,2,75.0,0.0
24,AHO,1992,0,4,0,0,0,0,0,0,0,0,0,75.0,0.0
25,AHO,1996,0,7,0,0,0,0,0,0,0,0,0,100.0,0.0
26,AHO,2000,0,8,0,0,0,0,0,0,0,0,0,87.5,0.0
27,AHO,2004,0,3,0,0,0,0,0,0,0,0,0,100.0,0.0
28,AHO,2008,0,4,0,0,0,0,0,0,0,0,0,100.0,0.0
29,AIN,2024,10,30,0,0,0,0,0,3,5,0,2,0.0,0.0
30,ALB,1972,0,3,0,0,0,0,0,0,0,0,0,80.0,0.0
31,ALB,1992,0,8,0,0,0,0,0,0,0,0,0,77.77777777777779,0.0
32,ALB,1996,0,7,0,0,0,0,0,0,0,0,0,33.33333333333333,0.0
33,ALB,2000,0,5,0,0,0,0,0,0,0,0,0,40.0,0.0
34,ALB,2004,0,7,0,0,0,0,0,0,0,0,0,71.42857142857143,0.0
35,ALB,2008,0,12,0,0,0,0,0,0,0,0,0,58.333333333333336,0.0
36,ALB,2012,0,9,0,0,0,0,0,0,0,0,0,70.0,0.0
37,ALB,2016,0,6,0,0,0,0,0,0,0,0,0,50.0,0.0
38,ALB,2020,0,10,0,0,0,0,0,0,0,0,0,60.0,0.0
39,ALB,2024,2,9,0,0,0,0,0,2,0,0,0,55.55555555555556,0.0
40,ALG,1964,0,7,0,0,0,0,0,0,0,0,0,100.0,0.0
41,ALG,1968,0,9,0,0,0,0,0,0,0,0,0,100.0,0.0
42,ALG,1972,0,5,0,0,0,0,0,0,0,0,0,100.0,0.0
43,ALG,1980,0,28,0,0,0,0,0,0,0,0,0,100.0,0.0
44,ALG,1984,2,17,0,0,0,0,0,2,0,0,0,100.0,0.0
45,ALG,1988,0,29,0,0,0,0,0,0,0,0,0,93.33333333333333,0.0
46,ALG,1992,4,27,0,0,0,0,0,4,0,0,0,94.44444444444444,0.0
47,ALG,1996,7,29,0,0,0,0,0,7,0,0,0,87.2340425531915,0.0
48,ALG,2000,8,42,0,0,0,0,0,8,0,0,0,80.3921568627451,0.0
49,ALG,2004,0,57,0,0,0,0,0,0,0,0,0,76.05633802816901,0.0
50,ALG,2008,3,44,0,0,0,0,0,3,0,0,0,61.40350877192983,0.0
51,ALG,2012,3,29,0,0,0,0,0,3,0,0,0,56.41025641025641,0.0
52,ALG,2016,4,48,0,0,0,0,0,4,0,0,0,82.43243243243244,0.0
53,ALG,2020,0,43,0,0,0,0,0,0,0,0,0,66.66666666666666,0.0
54,ALG,2024,7,47,0,3,0,0,0,4,0,0,0,49.09090909090909,0.0
55,AND,1976,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0
56,AND,1980,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
57,AND,1984,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
58,AND,1988,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0
59,AND,1992,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0
60,AND,1996,0,7,0,0,0,0,0,0,0,0,0,0.0,0.0
61,AND,2000,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0
62,AND,2004,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0
63,AND,2008,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0
64,AND,2012,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0
65,AND,2016,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0
66,AND,2020,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0
67,AND,2024,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0
68,ANG,1980,0,14,0,0,0,0,0,0,0,0,0,0.0,0.0
69,ANG,1988,0,27,0,0,0,0,0,0,0,0,0,0.0,0.0
70,ANG,1992,0,21,0,0,0,0,0,0,0,0,0,0.0,0.0
71,ANG,1996,0,8,0,0,0,0,0,0,0,0,0,0.0,0.0
72,ANG,2000,0,7,0,0,0,0,0,0,0,0,0,0.0,0.0
73,ANG,2004,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0
74,ANG,2008,0,8,0,0,0,0,0,0,0,0,0,0.0,0.0
75,ANG,2012,0,10,0,0,0,0,0,0,0,0,0,0.0,0.0
76,ANG,2016,0,10,0,0,0,0,0,0,0,0,0,0.0,0.0
77,ANG,2020,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0
78,ANG,2024,0,10,0,0,0,0,0,0,0,0,0,0.0,0.0
79,ANT,1976,0,11,0,0,0,0,0,0,0,0,0,0.0,0.0
80,ANT,1984,0,17,0,0,0,0,0,0,0,0,0,0.0,0.0
81,ANT,1988,0,19,0,0,0,0,0,0,0,0,0,0.0,0.0
82,ANT,1992,0,15,0,0,0,0,0,0,0,0,0,0.0,0.0
83,ANT,1996,0,9,0,0,0,0,0,0,0,0,0,0.0,0.0
84,ANT,2000,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0
85,ANT,2004,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0
86,ANT,2008,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0
87,ANT,2012,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0
88,ANT,2016,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0
89,ANT,2020,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0
90,ANT,2024,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0
91,ANZ,1908,9,20,3,0,0,0,0,6,0,0,0,100.0,0.0
92,ANZ,1912,11,17,0,0,0,0,0,10,0,0,1,94.73684210526315,0.0
93,ARG,1900,0,1,0,0,0,0,0,0,0,0,0,100.0,0.0
94,ARG,1908,0,1,0,0,0,0,0,0,0,0,0,100.0,0.0
95,ARG,1920,0,1,0,0,0,0,0,0,0,0,0,100.0,0.0
96,ARG,1924,11,39,3,0,0,0,0,8,0,0,0,100.0,0.0
97,ARG,1928,16,40,0,0,0,0,0,14,0,0,2,100.0,0.0
98,ARG,1932,11,30,0,0,0,0,0,11,0,0,0,100.0,0.0
99,ARG,1936,13,31,3,0,0,0,0,10,0,0,0,98.52941176470588,0.0
100,ARG,1948,16,101,0,0,0,0,0,14,0,0,2,93.22033898305084,0.0
101,ARG,1952,9,77,0,0,0,0,0,9,0,0,0,89.65517241379311,0.0
102,ARG,1956,3,32,0,0,0,0,0,3,0,0,0,97.72727272727273,0.0
103,ARG,1960,3,54,0,0,0,0,0,1,0,0,2,99.13793103448276,0.0
104,ARG,1964,2,78,0,0,0,0,0,0,0,0,2,92.56756756756756,0.0
105,ARG,1968,2,60,0,0,0,0,0,2,0,0,0,93.18181818181817,0.0
106,ARG,1972,2,62,0,0,0,0,0,2,0,0,0,91.869918699187,0.0
107,ARG,1976,0,50,0,0,0,0,0,0,0,0,0,83.01886792452831,0.0
108,ARG,1984,0,70,0,0,0,0,0,0,0,0,0,85.21739130434783,0.0
109,ARG,1988,3,53,0,1,0,0,0,0,0,0,2,76.11940298507463,0.0
110,ARG,1992,1,68,0,0,0,0,0,0,0,0,1,73.87387387387388,0.0
111,ARG,1996,5,102,0,0,0,0,0,1,0,0,4,68.77828054298642,0.0
112,ARG,2000,6,98,0,0,0,0,2,0,0,0,4,68.90243902439023,0.0
113,ARG,2004,10,86,0,3,0,0,1,1,0,0,5,69.66292134831461,0.0
114,ARG,2008,10,71,0,1,0,0,1,1,0,0,7,61.80555555555556,0.0
115,ARG,2012,7,66,0,0,0,3,2,0,0,0,2,69.5945945945946,0.0
116,ARG,2016,11,80,0,0,0,0,3,3,0,0,5,64.65517241379311,0.0
117,ARG,2020,4,71,0,1,0,0,2,0,1,0,0,67.78846153846155,0.0
118,ARG,2024,6,48,0,0,0,0,1,0,0,0,5,74.67532467532467,0.0
119,ARM,1996,5,36,0,0,0,0,0,5,0,0,0,94.73684210526315,0.0
120,ARM,2000,1,26,0,0,0,0,0,1,0,0,0,92.3076923076923,0.0
121,ARM,2004,0,19,0,0,0,0,0,0,0,0,0,89.47368421052632,0.0
122,ARM,2008,6,24,0,0,0,0,0,6,0,0,0,92.3076923076923,0.0
123,ARM,2012,4,30,0,0,0,0,0,4,0,0,0,87.09677419354838,0.0
124,ARM,2016,9,32,0,0,0,0,0,9,0,0,0,70.58823529411765,0.0
125,ARM,2020,6,19,0,1,0,0,0,5,0,0,0,84.21052631578947,0.0
126,ARM,2024,7,16,0,2,0,0,0,5,0,0,0,88.23529411764706,0.0
127,ARU,1988,0,10,0,0,0,0,0,0,0,0,0,0.0,0.0
128,ARU,1992,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0
129,ARU,1996,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0
130,ARU,2000,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0
131,ARU,2004,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0
132,ARU,2008,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0
133,ARU,2012,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0
134,ARU,2016,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0
135,ARU,2020,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0
136,ARU,2024,0,7,0,0,0,0,0,0,0,0,0,0.0,0.0
137,ASA,1988,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0
138,ASA,1992,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0
139,ASA,1996,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0
140,ASA,2000,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0
141,ASA,2004,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0
142,ASA,2008,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0
143,ASA,2012,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0
144,ASA,2016,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0
145,ASA,2020,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0
146,ASA,2024,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0
147,AUS,1896,7,5,0,0,0,0,0,6,0,0,1,100.0,0.0
148,AUS,1900,12,6,0,0,0,0,0,12,0,0,0,100.0,0.0
149,AUS,1904,7,6,0,0,0,0,0,7,0,0,0,100.0,0.0
150,AUS,1906,3,9,0,0,0,0,0,3,0,0,0,0.0,0.0
151,AUS,1920,5,19,0,0,0,0,0,5,0,0,0,89.65517241379311,0.0
152,AUS,1924,12,31,0,0,0,0,3,9,0,0,0,98.33333333333333,0.0
153,AUS,1928,8,26,0,0,0,0,0,7,0,0,1,75.86206896551724,0.0
154,AUS,1932,12,17,0,0,0,0,0,9,0,0,3,73.68421052631578,0.0
155,AUS,1936,1,26,0,0,0,0,0,1,0,0,0,84.61538461538461,0.0
156,AUS,1948,23,52,0,0,0,0,0,23,0,0,0,82.52427184466019,0.0
157,AUS,1952,24,67,0,0,0,0,0,16,0,0,8,87.14285714285714,0.0
158,AUS,1956,56,143,0,0,0,0,0,49,0,0,7,82.76699029126213,1.0
159,AUS,1960,41,122,0,0,0,0,0,35,0,0,6,80.0,0.0
160,AUS,1964,30,133,0,0,0,0,1,26,0,0,3,76.78571428571429,0.0
161,AUS,1968,31,105,0,0,0,0,2,28,0,0,1,72.76785714285714,0.0
162,AUS,1972,40,110,0,0,0,0,0,28,0,0,12,72.55639097744361,0.0
