,NOC,Medal,LowerBound,UpperBound
0,AFG,0,0,0
1,AIN,10,0,0
2,ALB,2,0,0
3,ALG,7,5,6
4,AND,0,0,0
5,ANG,0,0,0
6,ANT,0,0,0
7,ARG,6,5,6
8,ARM,7,4,5
9,ARU,0,0,0
10,ASA,0,0,0
11,AUS,102,43,44
12,AUT,9,7,8
13,AZE,13,5,6
14,BAH,0,0,0
15,BAN,0,0,0
16,BAR,0,0,0
17,BDI,0,0,0
18,BEL,14,8,9
19,BEN,0,0,0
20,BER,0,0,0
21,BHU,0,0,0
22,BIH,0,0,0
23,BIZ,0,0,0
24,BOL,0,0,0
25,BOT,5,2,3
26,BRA,33,24,25
27,BRN,9,1,2
28,BRU,0,0,0
29,BUL,14,5,7
30,BUR,0,0,0
31,CAF,0,0,0
32,CAM,0,0,0
33,CAN,51,20,22
34,CAY,0,0,0
35,CGO,0,0,0
36,CHA,0,0,0
37,CHI,5,0,0
38,CHN,184,83,85
39,CIV,1,0,0
40,CMR,0,0,0
41,COD,0,0,0
42,COK,0,0,0
43,COL,7,5,7
44,COM,0,0,0
45,CPV,1,0,0
46,CRC,0,0,0
47,CRO,13,8,9
48,CUB,14,3,4
49,CYP,2,0,1
50,CZE,11,7,8
51,DEN,15,7,8
52,DJI,0,0,1
53,DMA,3,0,0
54,DOM,5,2,3
55,ECU,9,1,2
56,EGY,6,5,6
57,EOR,1,0,0
58,ERI,0,1,2
59,ESA,0,0,0
60,ESP,32,18,20
61,EST,0,0,1
62,ETH,9,0,0
63,FIJ,2,0,0
64,FIN,0,0,0
65,FRA,116,45,49
66,FSM,0,0,0
67,GAB,0,0,0
68,GAM,0,0,0
69,GBR,111,46,49
70,GBS,0,0,0
71,GEO,16,6,7
72,GEQ,0,0,0
73,GER,63,41,43
74,GHA,0,0,0
75,GRE,11,3,4
76,GRN,2,0,1
77,GUA,4,0,1
78,GUI,0,0,0
79,GUM,0,0,0
80,GUY,0,0,0
81,HAI,0,0,0
82,HKG,8,0,0
83,HON,0,0,0
84,HUN,35,12,13
85,INA,7,3,4
86,IND,7,3,5
87,IRI,24,9,10
88,IRL,11,7,8
89,IRQ,0,1,2
90,ISL,0,0,0
91,ISR,14,9,10
92,ISV,0,0,1
93,ITA,69,33,34
94,IVB,0,0,0
95,JAM,11,0,0
96,JOR,2,1,2
97,JPN,95,51,52
98,KAZ,12,11,12
99,KEN,19,2,3
100,KGZ,8,2,3
101,KIR,0,0,0
102,KOR,62,19,21
103,KOS,3,0,0
104,KSA,0,2,3
105,KUW,0,0,0
106,LAO,0,0,0
107,LAT,0,1,2
108,LBA,0,0,0
109,LBN,0,0,0
110,LBR,0,0,0
111,LCA,5,0,1
112,LES,0,0,0
113,LIE,0,0,0
114,LTU,6,7,9
115,LUX,0,0,0
116,MAD,0,0,0
117,MAR,4,3,4
118,MAS,2,0,1
119,MAW,0,0,0
120,MDA,5,0,0
121,MDV,0,0,0
122,MEX,8,2,3
123,MGL,2,0,1
124,MHL,0,0,0
125,MKD,0,0,0
126,MKD,0,0,0
127,MLI,0,0,0
128,MLT,0,0,0
129,MNE,0,4,5
130,MON,0,0,0
131,MOZ,0,0,0
132,MRI,0,0,0
133,MTN,0,0,0
134,MYA,0,0,0
135,NAM,0,0,0
136,NCA,0,0,0
137,NED,71,25,26
138,NEP,0,0,0
139,NGR,0,0,0
140,NIG,0,0,0
141,NOR,17,4,5
142,NRU,0,0,0
143,NZL,47,11,13
144,OMA,0,0,0
145,PAK,3,0,0
146,PAN,2,0,0
147,PAR,0,0,0
148,PER,1,0,0
149,PHI,8,3,4
150,PLE,0,0,0
151,PLW,0,0,0
152,PNG,0,0,0
153,POL,15,10,12
154,POR,8,2,3
155,PRK,8,0,0
156,PUR,2,0,0
157,QAT,1,3,4
158,ROU,19,3,4
159,RSA,11,4,5
160,RWA,0,0,0
161,SAM,0,2,3
162,SEN,0,0,0
163,SEY,0,0,0
164,SGP,1,0,0
165,SKN,0,0,0
166,SLE,0,0,0
167,SLO,8,4,5
168,SMR,0,0,0
169,SOL,0,0,0
170,SOM,0,0,0
171,SRB,12,10,12
172,SRI,0,0,0
173,SSD,0,0,0
174,STP,0,0,0
175,SUD,0,0,0
176,SUI,12,9,11
177,SUR,0,3,4
178,SVK,1,0,0
179,SWE,23,8,10
180,SWZ,0,0,0
181,SYR,0,0,1
182,TAN,0,0,0
183,TGA,0,0,0
184,THA,11,0,1
185,TJK,3,0,1
186,TKM,0,0,0
187,TLS,0,0,0
188,TOG,0,0,0
189,TPE,11,4,5
190,TTO,0,0,0
191,TUN,6,1,2
192,TUR,11,9,10
193,TUV,0,0,0
194,UAE,0,3,4
195,UGA,5,0,0
196,UKR,22,7,9
197,URU,0,2,3
198,USA,218,86,94
199,USA,218,86,94
200,UZB,31,7,8
201,VAN,0,0,0
202,VEN,0,0,0
203,VIE,0,0,0
204,VIN,0,0,0
205,YEM,0,0,0
206,ZAM,1,0,0
207,ZIM,0,0,0
